NANDO:2200882	MONDO:0018484
NANDO:1200353	MONDO:0018542
NANDO:2200745	MONDO:0018542
NANDO:1200165	MONDO:0018544
NANDO:2200576	MONDO:0018544
NANDO:1200656	MONDO:0018570
NANDO:2201012	MONDO:0018570
NANDO:2200333	MONDO:0018612
NANDO:2200334	MONDO:0018612
NANDO:2200367	MONDO:0018638
NANDO:1200928	MONDO:0018645
NANDO:1200440	MONDO:0018646
NANDO:2200929	MONDO:0018646
NANDO:2200046	MONDO:0018666
NANDO:1200930	MONDO:0018671
NANDO:1200918	MONDO:0007318
NANDO:2200931	MONDO:0007318
NANDO:1200270	MONDO:0018737
NANDO:1200634	MONDO:0018746
NANDO:1200635	MONDO:0018747
NANDO:2200312	MONDO:0018762
NANDO:2200934	MONDO:0018808
NANDO:2200437	MONDO:0018824
NANDO:1200574	MONDO:0018838
NANDO:2200817	MONDO:0018838
NANDO:1200078	MONDO:0018868
NANDO:2200560	MONDO:0018868
NANDO:2200009	MONDO:0018872
NANDO:2200011	MONDO:0018872
NANDO:2200816	MONDO:0042727
NANDO:1200316	MONDO:0018896
NANDO:2200649	MONDO:0018896
NANDO:1200725	MONDO:0018904
NANDO:2200123	MONDO:0018904
NANDO:1200094	MONDO:0001586
NANDO:1200095	MONDO:0001586
NANDO:1200096	MONDO:0001586
NANDO:2200064	MONDO:0005058
NANDO:1200637	MONDO:0018910
NANDO:1200641	MONDO:0018910
NANDO:2200986	MONDO:0018910
NANDO:1200379	MONDO:0018912
NANDO:2200350	MONDO:0018912
NANDO:2200354	MONDO:0018912
NANDO:1200307	MONDO:0018922
NANDO:2200618	MONDO:0018922
NANDO:1200125	MONDO:0018931
NANDO:2200568	MONDO:0018931
NANDO:1200100	MONDO:0018937
NANDO:1200101	MONDO:0018937
NANDO:1200102	MONDO:0018937
NANDO:1200103	MONDO:0018937
NANDO:1200104	MONDO:0018937
NANDO:1200105	MONDO:0018938
NANDO:1200106	MONDO:0018938
NANDO:1200107	MONDO:0018938
NANDO:1200021	MONDO:0018940
NANDO:1200481	MONDO:0018947
NANDO:1200482	MONDO:0018947
NANDO:2200867	MONDO:0018947
NANDO:2200871	MONDO:0018948
NANDO:1200216	MONDO:0018949
NANDO:1200478	MONDO:0018958
NANDO:2200869	MONDO:0018958
NANDO:2200202	MONDO:0018959
NANDO:1200712	MONDO:0018965
NANDO:2200126	MONDO:0018965
NANDO:1200231	MONDO:0018974
NANDO:1200031	MONDO:0018979
NANDO:1200063	MONDO:0018982
NANDO:1200018	MONDO:0018993
NANDO:1200055	MONDO:0002561
NANDO:2200057	MONDO:0002728
NANDO:1200173	MONDO:0004069
NANDO:2200065	MONDO:0005060
NANDO:2200855	MONDO:0018995
NANDO:1200852	MONDO:0018999
NANDO:2200406	MONDO:0019003
NANDO:2200140	MONDO:0019005
NANDO:2200170	MONDO:0019005
NANDO:1200017	MONDO:0019011
NANDO:1200873	MONDO:0019019
NANDO:2201011	MONDO:0019019
NANDO:2200082	MONDO:0019035
NANDO:1200009	MONDO:0019037
NANDO:1200758	MONDO:0019053
NANDO:1200052	MONDO:0019064
NANDO:2200842	MONDO:0000456
NANDO:2200056	MONDO:0005212
NANDO:1200456	MONDO:0005361
NANDO:1200027	MONDO:0019100
NANDO:1200262	MONDO:0019124
NANDO:2200426	MONDO:0019124
NANDO:1200283	MONDO:0019125
NANDO:2200428	MONDO:0019125
NANDO:1200276	MONDO:0019127
NANDO:2200419	MONDO:0019127
NANDO:1200811	MONDO:0019142
NANDO:2200610	MONDO:0019142
NANDO:2200759	MONDO:0019146
NANDO:1200381	MONDO:0019165
NANDO:2200419	MONDO:0019168
NANDO:2200518	MONDO:0019169
NANDO:1200261	MONDO:0019170
NANDO:1200461	MONDO:0019188
NANDO:2200955	MONDO:0019188
NANDO:1200929	MONDO:0019191
NANDO:1200860	MONDO:0019193
NANDO:1200420	MONDO:0019203
NANDO:1200551	MONDO:0019208
NANDO:1200759	MONDO:0019234
NANDO:2200575	MONDO:0019234
NANDO:2200547	MONDO:0019249
NANDO:2200548	MONDO:0019249
NANDO:2200549	MONDO:0019249
NANDO:2200550	MONDO:0019249
NANDO:2200551	MONDO:0019249
NANDO:2200552	MONDO:0019249
NANDO:1200155	MONDO:0019260
NANDO:1200152	MONDO:0019261
NANDO:1200154	MONDO:0019262
NANDO:2200915	MONDO:0021055
NANDO:1200278	MONDO:0005854
NANDO:2200430	MONDO:0005854
NANDO:1200618	MONDO:0019269
NANDO:1200638	MONDO:0019312
NANDO:1200232	MONDO:0019322
NANDO:1200233	MONDO:0019323
NANDO:1200230	MONDO:0019324
NANDO:2200127	MONDO:0019344
NANDO:2200029	MONDO:0004977
NANDO:2200892	MONDO:0005715
NANDO:2200034	MONDO:0005764
NANDO:1200282	MONDO:0019355
NANDO:1200146	MONDO:0019366
NANDO:2200572	MONDO:0019366
NANDO:2200622	MONDO:0019395
NANDO:1200510	MONDO:0019399
NANDO:1200885	MONDO:0019403
NANDO:2200615	MONDO:0019403
NANDO:1200211	MONDO:0019438
NANDO:2200031	MONDO:0019450
NANDO:2200017	MONDO:0019460
NANDO:2200018	MONDO:0019460
NANDO:2200027	MONDO:0019472
NANDO:2200036	MONDO:0019480
NANDO:1200596	MONDO:0019485
NANDO:2200410	MONDO:0019499
NANDO:1200941	MONDO:0019501
NANDO:2200619	MONDO:0019533
NANDO:1200309	MONDO:0019534
NANDO:1200277	MONDO:0005100
NANDO:2200429	MONDO:0005100
NANDO:2200682	MONDO:0019565
NANDO:2200395	MONDO:0019610
NANDO:1200419	MONDO:0019622
NANDO:1200365	MONDO:0019623
NANDO:2200795	MONDO:0019623
NANDO:2200161	MONDO:0019638
NANDO:2200419	MONDO:0019734
NANDO:1201005	MONDO:0019754
NANDO:1200509	MONDO:0019773
NANDO:2200814	MONDO:0019773
NANDO:2200923	MONDO:0019787
NANDO:1200667	MONDO:0019796
NANDO:2200844	MONDO:0019796
NANDO:2200195	MONDO:0019804
NANDO:1200246	MONDO:0019810
NANDO:2201007	MONDO:0019810
NANDO:1200962	MONDO:0019813
NANDO:1200416	MONDO:0002429
